sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.05,gaussian_map,9,5.2278768757995044e-05,0.0,-9.047189964027793e-06,1.3487209302796974e-05,-0.00017831135061310285,0.00026819414243728633,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,10,1.7481702412693227e-05,0.0,-7.912328875219085e-06,1.0338964864476625e-05,-0.00015737489311238095,0.0002052784804454143,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,11,5.845774996359817e-06,0.0,-1.3434015359648493e-05,1.704914120917045e-05,-0.0002656362063973277,0.00033995724443181696,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,12,1.9547916159042387e-06,0.0,1.474292136116073e-06,5.659492151760981e-06,3.049413309575505e-05,0.0001133461748950182,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,13,6.536704310359163e-07,4.001854519130302e-23,6.681210005851801e-06,4.686344505957412e-06,0.00013239801087469507,9.30820728265527e-05,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,14,2.1858341775884342e-07,1.0004636297825755e-23,-1.4535209772741116e-06,2.0229378334054883e-06,-2.8918056422092675e-05,4.021550231374591e-05,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,15,7.309296589019462e-08,0.0,-2.8249794316147237e-06,2.4497215232106718e-06,-5.6077268480406146e-05,4.8721441876982504e-05,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,16,2.444184338136513e-08,2.5011590744564388e-24,4.4367413686109186e-08,1.9352443280383007e-06,1.1058487487911388e-06,3.8629479940982714e-05,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,17,8.173203817952112e-09,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,18,2.7330696628519187e-09,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,19,9.139218779292734e-10,3.9080610538381856e-26,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,20,3.0560991924596423e-10,1.9540305269190928e-26,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,21,1.0219409885792517e-10,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,22,3.4173085308065616e-11,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,23,1.1427271951346799e-11,6.106345396622165e-28,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,24,3.821210261609504e-12,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,25,1.2777894781535191e-12,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
